Patient,Cell name,T cell type,Cluster*,Clone ID,Clonal status
P0123,TP7115-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TP756-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TTR147-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TTR136-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TTR108-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TP740-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TTR141-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TTR188-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TTR158-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TTR5-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TTR178-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TP749-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TTR91-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TP713-20180123,CD4,CD4_C12-CTLA4,CRC.P0123_C000034:16,Clonal
P0123,TP779-20180123,DN,NA,CRC.P0123_C000034:16,Clonal
P0123,TTR123-20180123,DN,NA,CRC.P0123_C000034:16,Clonal
P0123,TTC121-20180123,CD8,CD8_C07-LAYN,CRC.P0123_C000033:12,Clonal
P0123,TTC86-20180123,CD8,CD8_C07-LAYN,CRC.P0123_C000033:12,Clonal
P0123,TTC117-20180123,CD8,CD8_C07-LAYN,CRC.P0123_C000033:12,Clonal
P0123,TTC45-20180123,CD8,CD8_C07-LAYN,CRC.P0123_C000033:12,Clonal
P0123,TTC84-20180123,CD8,CD8_C07-LAYN,CRC.P0123_C000033:12,Clonal
P0123,TTC150-20180123,CD8,CD8_C07-LAYN,CRC.P0123_C000033:12,Clonal
P0123,TTC182-20180123,CD8,CD8_C07-LAYN,CRC.P0123_C000033:12,Clonal
P0123,TTC32-20180123,CD8,CD8_C07-LAYN,CRC.P0123_C000033:12,Clonal
P0123,TTC122-20180123,CD8,CD8_C07-LAYN,CRC.P0123_C000033:12,Clonal
P0123,TTC2-20180123,CD8,CD8_C07-LAYN,CRC.P0123_C000033:12,Clonal
P0123,TTC151-20180123,other,NA,CRC.P0123_C000033:12,Clonal
P0123,TTC164-20180123,other,NA,CRC.P0123_C000033:12,Clonal
P0123,PTC85-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC66-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC26-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC34-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC90-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC18-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC60-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC55-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC87-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC51-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC36-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC94-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC19-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC64-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC4-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC76-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC28-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC2-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC88-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,TTC134-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC8-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC38-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC93-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC82-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC65-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC27-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC50-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC59-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC83-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC31-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC25-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
P0123,PTC3-20180123,CD8,CD8_C03-CX3CR1,CRC.P0123_C000040:39,Clonal
